split,dialog_id,ref_split,ref_dialog_id
validation,999,train,1963
validation,997,train,1805
validation,994,train,8024
validation,992,train,7677
validation,991,train,7300
validation,985,train,6794
validation,979,train,8606
validation,950,train,7434
validation,949,train,4396
validation,943,train,1927
validation,921,train,8161
validation,918,train,3392
validation,908,train,7040
validation,907,train,8672
validation,896,train,8546
validation,888,train,5615
validation,881,train,1315
validation,880,train,2931
validation,875,train,6175
validation,870,train,3594
validation,869,train,6169
validation,862,train,9314
validation,854,train,6456
validation,852,train,494
validation,851,train,6611
validation,850,train,6103
validation,849,train,8264
validation,848,train,7724
validation,845,train,8755
validation,833,train,9920
validation,830,train,1592
validation,828,train,6083
validation,824,train,10847
validation,821,train,4808
validation,816,train,3236
validation,805,train,9753
validation,803,train,5255
validation,797,train,6800
validation,793,train,866
validation,779,train,7071
validation,762,train,8280
validation,760,train,2545
validation,757,train,7699
validation,748,train,10725
validation,746,train,5897
validation,736,train,5273
validation,735,train,6611
validation,732,train,5453
validation,730,train,6556
validation,727,train,3664
validation,726,train,4268
validation,708,train,3199
validation,701,train,461
validation,700,train,7417
validation,699,train,10510
validation,692,train,2571
validation,688,train,7807
validation,680,train,5866
validation,677,train,5766
validation,676,train,6279
validation,671,train,399
validation,669,train,10153
validation,656,train,9266
validation,649,train,8445
validation,638,train,11060
validation,637,train,67
validation,628,train,2372
validation,626,train,4368
validation,614,train,8978
validation,609,train,6342
validation,608,train,106
validation,603,train,5964
validation,602,train,10304
validation,583,train,3230
validation,582,train,4560
validation,580,train,4682
validation,576,train,5669
validation,575,train,4345
validation,565,train,11104
validation,564,train,8902
validation,548,train,1879
validation,545,train,1457
validation,543,train,11044
validation,542,train,4237
validation,539,train,9089
validation,533,train,9658
validation,532,train,7759
validation,531,train,7834
validation,523,train,1440
validation,521,train,7621
validation,511,train,7869
validation,502,train,10578
validation,495,train,6573
validation,494,train,15
validation,480,train,4602
validation,479,train,8750
validation,476,train,9063
validation,473,train,2348
validation,470,train,7738
validation,468,train,8555
validation,464,train,4329
validation,449,train,7344
validation,446,train,892
validation,438,train,8326
validation,435,train,10560
validation,426,train,5308
validation,424,train,3284
validation,422,train,2580
validation,421,train,4813
validation,416,train,1587
validation,408,train,7608
validation,405,train,5267
validation,402,train,9669
validation,397,train,8803
validation,383,train,10665
validation,382,train,9213
validation,367,train,6017
validation,355,train,4632
validation,346,train,4282
validation,345,train,7846
validation,334,train,7271
validation,332,train,4828
validation,321,train,8039
validation,312,train,6276
validation,311,train,10578
validation,291,train,7239
validation,288,train,4063
validation,287,train,16
validation,284,train,9192
validation,275,train,8700
validation,270,train,87
validation,268,train,325
validation,259,train,10540
validation,253,train,10567
validation,249,train,4849
validation,245,train,4868
validation,239,train,579
validation,228,train,9979
validation,225,train,8214
validation,209,train,10974
validation,205,train,10641
validation,203,train,273
validation,191,train,5130
validation,174,train,9385
validation,173,train,7421
validation,171,train,799
validation,153,train,8731
validation,152,train,2758
validation,140,train,6455
validation,134,train,6519
validation,127,train,8468
validation,126,train,10122
validation,124,train,7312
validation,113,train,7513
validation,112,train,10649
validation,111,train,6904
validation,101,train,6675
validation,100,train,7382
validation,96,train,9059
validation,95,train,9669
validation,93,train,543
validation,91,train,5560
validation,90,train,9413
validation,86,train,5653
validation,84,train,8465
validation,63,train,6154
validation,62,train,8975
validation,50,train,8123
validation,49,train,9388
validation,47,train,4245
validation,45,train,11055
validation,37,train,3092
validation,33,train,5054
validation,28,train,8719
validation,25,train,7599
validation,24,train,5781
validation,9,train,9584
test,1000,train,6758
test,999,train,2415
test,998,train,3403
test,997,train,325
test,996,train,7
test,987,train,4446
test,983,train,1248
test,980,train,157
test,975,train,3678
test,971,train,3198
test,970,train,246
test,969,train,535
test,968,train,5399
test,967,train,9814
test,966,train,3153
test,960,train,5878
test,956,train,9956
test,955,train,4363
