=== figure_2_panel_a ===
Simulation Strategy,Context,Mean KSR
Gboard,none,0.4830295457932047
Strategy 1 (v1),all,0.6219866414953655
Srategy 2 (v1),all,0.6468728875130492
Strategy 2A (v1),all,0.6421329312066953
Strategy 1 (v2),all,0.6403313178639704
Strategy 2 (v2),all,0.6566488667291842
Strategy 2A (v2),all,0.6473960527269753
Strategy 1 (v1),none,0.4944365339397591
Srategy 2 (v1),none,0.5247023842884055
Strategy 2A (v1),none,0.5112838587657984
Strategy 1 (v2),none,0.5434860628678683
Strategy 2 (v2),none,0.5516304409922481
Strategy 2A (v2),none,0.5247707917177548

=== figure_2_panel_b ===
strategy,top_n,ksr_means
Gboard,1,0.280193788899088
Gboard,2,0.39186271862462474
Gboard,3,0.43674707494377313
Gboard,4,0.4627813178278903
Gboard,5,0.4830295457932047
v2: Strategy 2 (Context: all),1,0.5830309565675298
v2: Strategy 2 (Context: all),2,0.6260396078413545
v2: Strategy 2 (Context: all),3,0.6414556293244119
v2: Strategy 2 (Context: all),4,0.6523202895737144
v2: Strategy 2 (Context: all),5,0.6566488667291842
v2: Strategy 2 (Context: none),1,0.4635282840177859
v2: Strategy 2 (Context: none),2,0.509684185646049
v2: Strategy 2 (Context: none),3,0.53103970835145
v2: Strategy 2 (Context: none),4,0.5458389952007023
v2: Strategy 2 (Context: none),5,0.5516304409922481

=== figure_2_panel_c ===
strategy,top_n,single_server_call_fractions
v2: Strategy 2 (Context: all),1,0.4582470669427191
v2: Strategy 2 (Context: all),2,0.5638371290545203
v2: Strategy 2 (Context: all),3,0.6024844720496895
v2: Strategy 2 (Context: all),4,0.6369910282953761
v2: Strategy 2 (Context: all),5,0.6570048309178744
v2: Strategy 2 (Context: none),1,0.23947550034506557
v2: Strategy 2 (Context: none),2,0.2974465148378192
v2: Strategy 2 (Context: none),3,0.32643202208419597
v2: Strategy 2 (Context: none),4,0.3526570048309179
v2: Strategy 2 (Context: none),5,0.36438923395445133

=== figure_6 ===
SubjectGroup,Condition,wpm_mean,wpm_ci95,ksr_mean,ksr_ci95,single_server_call_ratios_mean,single_server_call_ratios_ci95,fm_selection_ratios_mean,fm_selection_ratios_ci95
OneFinger,"Baseline, Scripted",25.783673241468986,3.846786379182157,0.06477962917806278,0.1136621731913701,,,,
OneFinger,"SpeakFaster, Scripted",30.75396912387905,5.811184323215446,0.6080589702807931,0.023851892209374722,73.45679004987082,5.872021787580771,47.73809523809524,17.104190519674802
OneFinger,"Baseline, Unscripted",25.404962610491868,4.860795501178499,-0.025499690007304412,0.05252421971864353,,,,
OneFinger,"SpeakFaster, Unscripted",23.31399754754817,6.499813852663219,0.3153285228064677,0.19451137698696536,62.80864278475443,11.71284374905443,51.11111111111111,24.522976880096106
NoConstraint,"Baseline, Scripted",30.167127719780456,7.258867974316637,-0.007136093107756656,0.11290499250065059,,,,
NoConstraint,"SpeakFaster, Scripted",30.463737942969914,6.16183472140429,0.5762007584637693,0.03821154565447957,76.11111134290695,8.580831269018297,60.873015873015866,9.79841256984461
NoConstraint,"Baseline, Unscripted",28.62397629090401,5.969425413780974,-0.0907745197075067,0.11481470709605843,,,,
NoConstraint,"SpeakFaster, Unscripted",23.868124811566794,3.744963664026147,0.4568366569387625,0.07782347631212294,67.77777880430222,8.546216958710245,40.208333333333336,27.248028566556677

=== figure_7 ===
dialog_turn_type,sim_ae_ksr,user_ae_ksr
Scripted,0.7000000000000001,0.6666666666666666
Scripted,0.5625,0.4625
Scripted,0.7142857142857143,0.6547619047619048
Scripted,0.71875,0.71875
Scripted,0.5918367346938774,0.4334433347807208
Scripted,0.2510822510822511,0.0129032258064516
Scripted,0.5882352941176471,0.2843137254901961
Scripted,0.5625,0.5625
Scripted,0.7142857142857143,0.6825396825396827
Scripted,0.7555555555555555,0.6711111111111111
Scripted,0.5454545454545454,0.45454545454545453
Scripted,0.7333333333333334,0.7266666666666668
Scripted,0.2631578947368421,0.08791866028708134
Scripted,0.7575757575757577,0.7575757575757576
Scripted,0.7199999999999999,0.7
Scripted,0.6315789473684211,0.5526315789473684
Scripted,0.5714285714285714,0.26756756756756755
Scripted,0.7142857142857143,0.6828416149068324
Scripted,0.7000000000000001,0.5944444444444446
Scripted,0.6521739130434784,0.6376811594202899
Scripted,0.6097560975609756,0.3953252032520325
Scripted,0.6857142857142858,0.4667384026781444
Scripted,0.7272727272727274,0.7272727272727274
Scripted,0.5210084033613445,0.42023172905525846
Scripted,0.5989010989010989,0.6813186813186815
Scripted,0.6428571428571429,0.4583333333333332
Scripted,0.4705882352941177,0.33116883116883117
Scripted,0.6785714285714287,0.6785714285714287
Scripted,0.5625,0.5089285714285714
Scripted,0.5047619047619046,0.1979591836734694
Scripted,0.7199999999999999,0.697142857142857
Scripted,0.7674418604651164,0.7488372093023256
Scripted,0.7599999999999999,0.7599999999999999
Scripted,0.7428571428571429,0.7428571428571429
Scripted,0.7307692307692308,0.7307692307692308
Scripted,0.7142857142857143,0.6777777777777778
Scripted,0.6666666666666669,0.6666666666666669
Scripted,0.45918367346938777,0.34285714285714286
Scripted,0.7555555555555555,0.7555555555555555
Scripted,0.7184873949579833,0.583111954459203
Scripted,0.7619047619047619,0.6825396825396824
Scripted,0.6666666666666669,0.6666666666666667
Scripted,0.6470588235294118,0.6339869281045751
Scripted,0.6799999999999998,0.6799999999999998
Scripted,0.7096774193548389,0.6810035842293908
Scripted,0.6864111498257838,0.6556464900197175
Scripted,0.6774193548387099,0.5474095796676441
Scripted,0.5,0.5
Scripted,0.48,0.24
Scripted,0.6666666666666669,0.6666666666666669
Scripted,0.7665505226480835,0.7317073170731707
Scripted,0.6923076923076924,0.6923076923076924
Scripted,0.689655172413793,0.6896551724137931
Scripted,0.7142857142857143,0.7012987012987013
Scripted,0.7096774193548389,0.6589861751152074
Scripted,0.7000000000000001,0.6999999999999998
Scripted,0.7297297297297297,0.7297297297297297
Scripted,0.6666666666666669,0.6111111111111112
Scripted,0.6875,0.6875
Scripted,0.6785714285714287,0.6785714285714285
Unscripted,0.75,0.75
Unscripted,0.56,0.4
Unscripted,0.725,0.65
Unscripted,0.65,0.65
Unscripted,0.7105263157894737,0.631578947368421
Unscripted,0.1333333333333333,-1.1333333333333333
Unscripted,0.5897435897435898,0.717948717948718
Unscripted,0.7297297297297297,0.6756756756756757
Unscripted,0.75,0.75
Unscripted,0.75,0.6
Unscripted,0.6428571428571428,0.6428571428571428
Unscripted,0.7333333333333334,0.7333333333333334
Unscripted,0.6363636363636364,0.6363636363636364
Unscripted,0.19354838709677424,0.0
Unscripted,0.39473684210526316,0.368421052631579
Unscripted,0.5909090909090908,0.5909090909090908
Unscripted,0.7391304347826086,0.7391304347826086
Unscripted,0.7,0.7
Unscripted,0.7333333333333334,0.7333333333333334
Unscripted,0.5555555555555556,0.5555555555555556
Unscripted,0.35,-0.10000000000000009
Unscripted,0.6470588235294117,0.6470588235294117
Unscripted,0.43548387096774194,0.06451612903225812
Unscripted,0.6282051282051282,0.10256410256410253
Unscripted,0.31034482758620685,0.27586206896551724
Unscripted,0.7297297297297297,0.7297297297297297
Unscripted,0.72,0.72
Unscripted,0.45833333333333337,0.34615384615384615
Unscripted,0.19999999999999996,0.19999999999999996
Unscripted,0.24074074074074076,0.40740740740740744
Unscripted,0.5945945945945945,0.3513513513513513
Unscripted,0.4722222222222222,0.05555555555555558
Unscripted,0.6111111111111112,0.6111111111111112
Unscripted,0.4473684210526316,-0.3157894736842106
Unscripted,0.6923076923076923,0.3589743589743589
Unscripted,0.6818181818181819,0.6818181818181819
Unscripted,0.0,0.0
Unscripted,0.7333333333333334,0.7333333333333334
Unscripted,0.6956521739130435,0.6956521739130435
Unscripted,0.6666666666666667,0.6666666666666667
Unscripted,0.6451612903225806,0.6451612903225806
Unscripted,0.7407407407407407,0.7407407407407407
Unscripted,0.7333333333333334,0.7333333333333334
Unscripted,0.25,-0.050000000000000044
Unscripted,0.2941176470588235,-0.17647058823529416
Unscripted,0.7,0.7
Unscripted,0.7142857142857143,0.33333333333333337
Unscripted,0.7666666666666666,0.7666666666666666
Unscripted,0.7857142857142857,0.38095238095238093
Unscripted,0.7333333333333334,0.7333333333333334
Unscripted,0.18518518518518523,0.2592592592592593
Unscripted,0.6296296296296297,0.6296296296296297
Unscripted,0.7435897435897436,0.7435897435897436
Unscripted,0.5625,0.5
Unscripted,0.6799999999999999,0.36
Unscripted,0.5,0.5
Unscripted,0.631578947368421,0.631578947368421
Unscripted,0.0,0.0
Unscripted,0.37037037037037035,0.5185185185185186
Unscripted,0.5454545454545454,0.5454545454545454
Unscripted,0.625,0.625
Unscripted,0.19999999999999996,0.19999999999999996
Unscripted,-0.5,-0.5
Unscripted,0.46,0.52
Unscripted,0.7407407407407407,0.7407407407407407
Unscripted,0.7407407407407407,0.7407407407407407
Unscripted,0.43333333333333335,0.06666666666666665
Unscripted,0.6666666666666667,0.6666666666666667
Unscripted,-0.5,-0.5
Unscripted,0.6111111111111112,0.05555555555555558
Unscripted,0.3048780487804878,0.24390243902439024
Unscripted,0.78125,0.78125
Unscripted,0.575,0.6
Unscripted,0.16666666666666663,0.11111111111111116
Unscripted,0.6956521739130435,0.6956521739130435
Unscripted,0.6363636363636364,0.6363636363636364
Unscripted,0.303030303030303,-0.21212121212121215
Unscripted,0.5384615384615384,0.5384615384615384
Unscripted,0.7272727272727273,0.7272727272727273
Unscripted,0.5555555555555556,0.5555555555555556
Unscripted,0.6538461538461539,0.5769230769230769
Unscripted,0.6923076923076923,0.5
Unscripted,0.5,-0.44999999999999996
Unscripted,0.6,0.6
Unscripted,0.5625,0.0
Unscripted,0.6666666666666667,0.6666666666666667
Unscripted,0.5813953488372092,0.13953488372093026
Unscripted,0.6,0.6
Unscripted,0.5714285714285714,0.5714285714285714
Unscripted,0.26315789473684215,-0.05263157894736836
Unscripted,0.5,0.09999999999999998
Unscripted,0.4545454545454546,0.2727272727272727
Unscripted,0.5,0.4
Unscripted,0.6,0.6
Unscripted,0.5714285714285714,0.4285714285714286
Unscripted,0.7272727272727273,0.7272727272727273
Unscripted,0.6111111111111112,0.6111111111111112
Unscripted,0.7428571428571429,0.7142857142857143
Unscripted,0.4523809523809524,0.1428571428571429
Unscripted,0.6785714285714286,0.5714285714285714
Unscripted,0.7878787878787878,0.7878787878787878
Unscripted,0.625,0.625
Unscripted,0.7435897435897436,0.7435897435897436
Unscripted,0.5333333333333333,0.33333333333333337
Unscripted,0.33333333333333337,0.33333333333333337
Unscripted,-0.5,-0.5
Unscripted,0.23809523809523814,-0.1428571428571428
Unscripted,0.3292682926829268,-0.04878048780487809
Unscripted,0.25,0.25
Unscripted,0.7441860465116279,0.7441860465116279
Unscripted,0.7962962962962963,0.7962962962962963
Unscripted,0.5476190476190477,0.2857142857142857
Unscripted,0.5,-0.13157894736842102
Unscripted,0.5777777777777777,0.5111111111111111
Unscripted,0.6111111111111112,0.6111111111111112
Unscripted,0.7222222222222222,0.6666666666666667
Unscripted,0.61,0.42000000000000004
Unscripted,0.6153846153846154,0.6153846153846154
Unscripted,0.7142857142857143,0.7142857142857143
